val/bongard_hoi/accuracy,train/bongard_hoi/accuracy_epoch,loss/best_ckpt,wandb_urls,experiment_nm,test_nm,based_on/slurm_id,max_epoch,finetuned_from_slurm_id,finetuned_from_wandb_id,lr,img_size,batch_size,model/auxiliary_loss_ratio,model/class,relation-model/class,val/loss,slurm_ids,val/bongard_hoi/mse_loss,train/bongard_hoi/mse_loss_epoch,train/vasr/accuracy_epoch,val/vasr/accuracy,val/vasr/mse_loss,train/vasr/mse_loss_epoch,test/bongard_hoi_seen-seen/accuracy,test/bongard_hoi_unseen-seen/accuracy,test/bongard_hoi_unseen-unseen/accuracy,test/bongard_hoi_seen-unseen/accuracy,test/vasr/accuracy,test/vasr/mse_loss,train/bongard_logo/accuracy_epoch,val/bongard_logo/accuracy,val/vaec/accuracy,train/vaec/accuracy_epoch,test/bongard_logo_test_ff/accuracy,test/bongard_logo_test_hd_novel/accuracy,test/bongard_logo_test_bd/accuracy,test/bongard_logo_test_hd_comb/accuracy,test/vaec_test2/accuracy,test/vaec_test1/accuracy,test/vaec_test4/accuracy,test/vaec_test3/accuracy,test/vaec/accuracy,test/vaec_test5/accuracy,test/bongard_logo_test_hd_novel/mse_loss,test/bongard_logo_test_ff/mse_loss,test/bongard_logo_test_bd/mse_loss,val/bongard_logo/mse_loss,train/bongard_logo/mse_loss_epoch,test/bongard_logo_test_hd_comb/mse_loss,val/vaec/mse_loss,test/vaec_test3/mse_loss,train/vaec/mse_loss_epoch,test/vaec_test1/mse_loss,test/vaec_test5/mse_loss,test/vaec_test4/mse_loss,test/vaec_test2/mse_loss,test/bongard_hoi_unseen-unseen_vit/accuracy,test/bongard_hoi_seen-seen_vit/accuracy,test/bongard_hoi_unseen-seen_vit/accuracy,train/bongard_hoi_vit/accuracy_epoch,val/bongard_hoi_vit/accuracy,test/bongard_hoi_seen-unseen_vit/accuracy,test/bongard_logo_test_bd_vit/accuracy,test/bongard_logo_test_ff_vit/accuracy,train/bongard_logo_vit/accuracy_epoch,val/bongard_logo_vit/accuracy,train/vasr_vit/accuracy_epoch,test/vasr_vit/accuracy,val/vasr_vit/accuracy,train/vaec_vit/accuracy_epoch,test/vaec_test5_vit/accuracy,test/vaec_test1_vit/accuracy,test/vaec_test2_vit/accuracy,test/vaec_test3_vit/accuracy,test/vaec_test4_vit/accuracy,val/vaec_vit/accuracy,test/bongard_logo_test_hd_comb_vit_2/accuracy,test/bongard_logo_test_hd_novel_vit_2/accuracy,test/bongard_logo_test_ff_vit_2/accuracy,test/bongard_logo_test_bd_vit_2/accuracy,test/bongard_hoi_unseen-seen_vit_2/accuracy,test/bongard_hoi_seen-unseen_vit_2/accuracy,test/vaec_test3_vit_2/accuracy,test/vaec_test4_vit_2/accuracy,test/vaec_test5_vit_2/accuracy,test/vaec_test1_vit_2/accuracy,test/vaec_test2_vit_2/accuracy,test/bongard_logo_test_hd_novel_vit_2/accuracy_bongard_hoi,test/bongard_logo_test_ff_vit_2/accuracy_bongard_hoi,test/bongard_hoi_unseen-seen_vit_2/accuracy_bongard_hoi,test/bongard_logo_test_bd_vit_2/accuracy_bongard_hoi,test/bongard_hoi_unseen-unseen_vit_2/accuracy_bongard_hoi,test/bongard_hoi_seen-unseen_vit_2/accuracy_bongard_hoi,test/bongard_hoi_seen-seen_vit_2/accuracy_bongard_hoi,test/bongard_logo_test_hd_comb_vit_2/accuracy_bongard_hoi,train/bongard_hoi_vit/accuracy_bongard_hoi_epoch,val/bongard_hoi_vit/accuracy_bongard_hoi,val/vasr_vit/accuracy_vasr,train/vasr_vit/accuracy_vasr_epoch,train/vasr_captions/accuracy_epoch,val/vasr_captions/accuracy,test/vasr_captions/accuracy,test/vasr_vit/accuracy_vasr,test/bongard_hoi_seen-seen_vit_2/accuracy,val/bongard_hoi_captions/accuracy,test/bongard_hoi_unseen-unseen_captions/accuracy,train/bongard_hoi_captions/accuracy_epoch,test/bongard_hoi_seen-unseen_captions/accuracy,test/bongard_hoi_unseen-seen_captions/accuracy,test/bongard_hoi_seen-seen_captions/accuracy,test/bongard_hoi_unseen-unseen_vit/accuracy_bongard_hoi,train/bongard_logo_vit/accuracy_bongard_logo_epoch,test/bongard_logo_test_bd_vit_2/accuracy_bongard_logo,val/bongard_logo_vit/accuracy_bongard_logo,test/bongard_logo_test_hd_novel_vit_2/accuracy_bongard_logo,test/bongard_logo_test_ff_vit_2/accuracy_bongard_logo,test/bongard_logo_test_hd_comb_vit_2/accuracy_bongard_logo,test/vaec_test2_vit_2/accuracy_vaec,test/vaec_test1_vit_2/accuracy_vaec,test/vaec_test5_vit_2/accuracy_vaec,test/vaec_test4_vit_2/accuracy_vaec,val/vaec_vit/accuracy_vaec,test/vaec_test3_vit_2/accuracy_vaec,train/vaec_vit/accuracy_vaec_epoch,test/svrt_vit_2/accuracy_svrt,val/svrt_vit_2/accuracy_svrt,train/svrt_vit_2/accuracy_svrt_epoch,train/iraven_vit_2/accuracy_iraven_epoch,val/iraven_vit_2/accuracy_iraven,test/iraven_vit_2/accuracy_iraven,test/bongard_logo_test_hd_novel_vit_2/accuracy_vasr,test/bongard_logo_test_bd_vit_2/accuracy_vasr,test/bongard_logo_test_ff_vit_2/accuracy_vasr,test/bongard_logo_test_hd_comb_vit_2/accuracy_vasr,test/bongard_logo_test_hd_novel_vit_2/accuracy_vaec,test/bongard_logo_test_bd_vit_2/accuracy_vaec,test/bongard_logo_test_hd_comb_vit_2/accuracy_vaec,test/bongard_logo_test_ff_vit_2/accuracy_vaec,test/vaec_test2_vit_2/accuracy_vasr,test/vaec_test3_vit_2/accuracy_vasr,test/vaec_test4_vit_2/accuracy_vasr,test/vaec_test5_vit_2/accuracy_vasr,test/vaec_test1_vit_2/accuracy_vasr,test/bongard_hoi_seen-unseen_vit_2/accuracy_bongard_logo,test/bongard_hoi_unseen-seen_vit_2/accuracy_bongard_logo,test/bongard_hoi_unseen-unseen_vit_2/accuracy_bongard_logo,test/bongard_hoi_seen-seen_vit_2/accuracy_bongard_logo,test/vasr_vit/accuracy_vaec
0.6040564179420471,0.778655469417572,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/845333/epoch=20-step=30261.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/qv8iuo3k,https://wandb.ai/avr_universal/AVR_universal/runs/a2vl8cwg,https://wandb.ai/avr_universal/AVR_universal/runs/fr53pfqs,https://wandb.ai/avr_universal/AVR_universal/runs/i3khkelr",bongard_hoi_scoring,frozen_slot,839928.0,43,,,0.0001,128,16,,model.models.scoring_model_v1.ScoringModel,,0.6828289031982422,"845333,850857,850858,850859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5805408358573914,0.8320819139480591,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857092/epoch=21-step=31702.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/fis6tq1q,https://wandb.ai/avr_universal/AVR_universal/runs/e53nln8c,https://wandb.ai/avr_universal/AVR_universal/runs/07e6j0rx",bongard_hoi_scoring_full_train,trained_slot_aux_test,839928.0,42,,,0.0001,128,16,10.0,model.models.scoring_model_v1.ScoringModel,,0.955525815486908,"857092,857093,857094",0.026981176808476448,0.026408622041344643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857095/epoch=1-step=24084.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/stcbjcgw,https://wandb.ai/avr_universal/AVR_universal/runs/pl54u845,https://wandb.ai/avr_universal/AVR_universal/runs/b76vmhgy",vasr_scoring_full_train,trained_slot_aux_test,839928.0,5,,,0.0001,128,32,10.0,model.models.scoring_model_v1.ScoringModel,,1.9968842267990112,"857095,857096,857097",,,0.8093662858009338,0.252280056476593,0.021684516221284866,0.021913595497608185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.60758376121521,0.8344689607620239,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857099/epoch=13-step=20174.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/rehj2eu8,https://wandb.ai/avr_universal/AVR_universal/runs/wl7il899,https://wandb.ai/avr_universal/AVR_universal/runs/d9y645tr",bongard_hoi_scoring_full_train,trained_slot_aux_test,839928.0,34,,,0.0001,128,16,1.0,model.models.scoring_model_v1.ScoringModel,,0.7006984353065491,"857099,857100,857101",0.03668461740016937,0.035507868975400925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857102/epoch=0-step=12042.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/s4tbj816,https://wandb.ai/avr_universal/AVR_universal/runs/vk7q2cl4,https://wandb.ai/avr_universal/AVR_universal/runs/lxsp10u9",vasr_scoring_full_train,trained_slot_aux_test,839928.0,5,,,0.0001,128,32,1.0,model.models.scoring_model_v1.ScoringModel,,1.6100318431854248,"857102,857103,857104",,,0.8031734228134155,0.2864484488964081,0.029959451407194138,0.030330795794725418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5925925970077515,0.8475326299667358,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857106/epoch=21-step=31702.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/od1397gv,https://wandb.ai/avr_universal/AVR_universal/runs/e8fro33v,https://wandb.ai/avr_universal/AVR_universal/runs/3yhza4py",bongard_hoi_scoring_full_train,trained_slot_aux_test,839928.0,42,,,0.0001,128,16,0.1,model.models.scoring_model_v1.ScoringModel,,0.6776648759841919,"857106,857107,857108",0.04595975950360298,0.043671946972608566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857109/epoch=0-step=12042.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/2e63hw1p,https://wandb.ai/avr_universal/AVR_universal/runs/gdtnanp1,https://wandb.ai/avr_universal/AVR_universal/runs/okut8ggm",vasr_scoring_full_train,trained_slot_aux_test,839928.0,5,,,0.0001,128,32,0.1,model.models.scoring_model_v1.ScoringModel,,1.66280198097229,"857109,857110,857111",,,0.8061398267745972,0.29409411549568176,0.038639795035123825,0.03883930295705795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5908288955688477,0.8659780621528625,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/857115/epoch=23-step=69144.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/df7ia2g0,https://wandb.ai/avr_universal/AVR_universal/runs/py9psomt,https://wandb.ai/avr_universal/AVR_universal/runs/h9lsn2f9",bongard_hoi_scoring_full_train,trained_slot_aux_test,835822.0,23,,,0.0001,128,8,10.0,model.models.scoring_model_v1.ScoringModel,,0.9021443724632263,"857113,857114,857115",0.021205037832260132,0.021865662187337875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5849500298500061,0.7959290146827698,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/850863/epoch=66-step=193027.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/zqjuzl5t,https://wandb.ai/avr_universal/AVR_universal/runs/vt09gz2k,https://wandb.ai/avr_universal/AVR_universal/runs/sf2t5i9i,https://wandb.ai/avr_universal/AVR_universal/runs/z353sycn",bongard_hoi_scoring,frozen_slot,835822.0,87,,,0.0001,128,8,,model.models.scoring_model_v1.ScoringModel,,0.6802625060081482,"850860,850861,850862,850863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,/mnt/evafs/groups/mandziuk-lab/akaminski/model_checkpoints/845347/epoch=0-step=12042.ckpt,"https://wandb.ai/avr_universal/AVR_universal/runs/e940ani9,https://wandb.ai/avr_universal/AVR_universal/runs/n5n03zsx,https://wandb.ai/avr_universal/AVR_universal/runs/094qcw0y,https://wandb.ai/avr_universal/AVR_universal/runs/tf0o71if",vasr_scoring,frozen_slot,839928.0,14,,,0.0001,128,32,,model.models.scoring_model_v1.ScoringModel,,1.4060808420181274,"845347,850850,850851,850852",,,0.5150941014289856,0.2919343411922455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
